epoch,loss,accuracy
0,0.693114,0.348958
100,0.690322,0.348958
200,0.688083,0.351562
300,0.686052,0.352865
400,0.684111,0.354167
500,0.682223,0.363281
600,0.680372,0.382812
700,0.678553,0.421875
800,0.676766,0.459635
900,0.675008,0.49349
1000,0.673279,0.540365
1100,0.671577,0.565104
1200,0.669904,0.588542
1300,0.668257,0.609375
1400,0.666637,0.626302
1500,0.665042,0.641927
1600,0.663472,0.648438
1700,0.661928,0.661458
1800,0.660407,0.667969
1900,0.65891,0.68099
2000,0.657437,0.682292
2100,0.655986,0.692708
2200,0.654557,0.690104
2300,0.653151,0.688802
2400,0.651765,0.690104
2500,0.650401,0.695312
2600,0.649057,0.695312
2700,0.647733,0.697917
2800,0.646428,0.701823
2900,0.645143,0.703125
3000,0.643877,0.704427
3100,0.64263,0.708333
3200,0.6414,0.71224
3300,0.640188,0.710938
3400,0.638994,0.710938
3500,0.637817,0.716146
3600,0.636656,0.716146
3700,0.635512,0.71875
3800,0.634384,0.721354
3900,0.633272,0.720052
4000,0.632175,0.716146
4100,0.631094,0.717448
4200,0.630027,0.71875
4300,0.628975,0.720052
4400,0.627937,0.721354
4500,0.626913,0.722656
4600,0.625903,0.723958
4700,0.624906,0.723958
4800,0.623923,0.723958
4900,0.622953,0.72526
